No. Time Source Destination Protocol Length Info
60 1.009721 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 30010 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
61 1.009724 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 31470 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
62 1.009726 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [PSH  ACK] Seq = 32930 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
63 1.009727 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 34390 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
64 1.009729 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 35850 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
65 1.009731 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 37310 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
66 1.010166 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 13950 Win = 42624 Len = 0
67 1.010186 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 38770 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
68 1.010189 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 40230 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
69 1.013039 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 15410 Win = 45440 Len = 0
70 1.013039 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 16870 Win = 48384 Len = 0
71 1.01304 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 18330 Win = 51328 Len = 0
72 1.01304 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 19790 Win = 54272 Len = 0
73 1.013072 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 41690 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
74 1.013075 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 43150 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
